model_dir,region_dir,day,q_idx,gpt52,claude,gemini,vote_kind,final_category
claude-sonnet-4-5,arabic,february_11,17,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_12,0,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_12,2,Qualifier Binding Error (Unit/Currency/Year/Version),Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,arabic,february_12,13,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_12,20,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,arabic,february_13,7,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_13,10,Retrieval Failure with Forced Guessing,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_13,20,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,arabic,february_14,8,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,arabic,february_16,13,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_17,2,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_18,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_19,1,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,arabic,february_19,15,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Answer Formatting / Option Mapping Failure,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,arabic,february_19,17,Event / Entity Misbinding,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_19,19,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_20,4,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_20,9,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,tiebroken,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_20,13,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_21,11,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_21,12,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_21,21,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_22,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_9,5,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_9,11,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_9,13,Event / Entity Misbinding,Event / Entity Misbinding,Event / Entity Misbinding,unanimous,Event / Entity Misbinding
claude-sonnet-4-5,arabic,february_9,19,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,arabic,february_9,22,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Inference Override / Over-Reasoning Instead of Extraction,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,arabic,february_9,24,Event / Entity Misbinding,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_10,3,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_10,4,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_10,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_10,14,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,tiebroken,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_11,6,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_11,12,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,tiebroken,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_12,0,Reading Comprehension / Option Interpretation Failure,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_12,3,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_12,9,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_12,14,Retrieval Failure with Forced Guessing,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_13,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_13,14,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_13,19,Answer Formatting / Option Mapping Failure,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_13,24,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_14,0,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_14,3,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_14,6,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_14,7,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_14,11,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_14,18,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_15,0,Retrieval Failure with Forced Guessing,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_15,5,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,hindi,february_15,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_15,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_15,17,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_15,20,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_16,0,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_16,11,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_16,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_16,13,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_16,14,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_16,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_16,22,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,tiebroken,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_17,5,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_17,7,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_17,8,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_17,12,Temporal Misalignment / Chronology Tracking Failure,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_18,8,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_18,13,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,majority,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_18,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_19,4,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_19,6,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_19,13,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_19,14,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_19,17,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_19,21,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_20,2,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_20,4,Reading Comprehension / Option Interpretation Failure,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,hindi,february_20,13,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_20,22,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_20,24,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_21,7,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_21,12,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_21,20,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_22,1,Reading Comprehension / Option Interpretation Failure,Source Divergence Under Real-World Report Conflict,Event / Entity Misbinding,tiebroken,Event / Entity Misbinding
claude-sonnet-4-5,hindi,february_22,8,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,hindi,february_22,16,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_9,2,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_9,4,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_9,11,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,hindi,february_9,16,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,majority,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_9,19,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,hindi,february_9,23,Inference Override / Over-Reasoning Instead of Extraction,Source Divergence Under Real-World Report Conflict,Retrieval Failure with Forced Guessing,tiebroken,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_10,15,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_10,16,Qualifier Binding Error (Unit/Currency/Year/Version),Qualifier Binding Error (Unit/Currency/Year/Version),Qualifier Binding Error (Unit/Currency/Year/Version),unanimous,Qualifier Binding Error (Unit/Currency/Year/Version)
claude-sonnet-4-5,russian,february_10,24,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_11,0,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_11,20,Source Divergence Under Real-World Report Conflict,Temporal Misalignment / Chronology Tracking Failure,Temporal Misalignment / Chronology Tracking Failure,majority,Temporal Misalignment / Chronology Tracking Failure
claude-sonnet-4-5,russian,february_11,21,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_12,2,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,Source Divergence Under Real-World Report Conflict,unanimous,Source Divergence Under Real-World Report Conflict
claude-sonnet-4-5,russian,february_13,16,Inference Override / Over-Reasoning Instead of Extraction,Inference Override / Over-Reasoning Instead of Extraction,Retrieval Failure with Forced Guessing,majority,Inference Override / Over-Reasoning Instead of Extraction
claude-sonnet-4-5,russian,february_13,19,Answer Formatting / Option Mapping Failure,Qualifier Binding Error (Unit/Currency/Year/Version),Answer Formatting / Option Mapping Failure,majority,Answer Formatting / Option Mapping Failure
claude-sonnet-4-5,russian,february_14,21,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_15,9,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
claude-sonnet-4-5,russian,february_15,16,Answer Formatting / Option Mapping Failure,Answer Formatting / Option Mapping Failure,Reading Comprehension / Option Interpretation Failure,majority,Answer Formatting / Option Mapping Failure
claude-sonnet-4-5,russian,february_17,16,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,Retrieval Failure with Forced Guessing,unanimous,Retrieval Failure with Forced Guessing
